vehicle_id,make,model,year,type,fuel_type,transmission,color,price,mileage_kmpl,range_km,battery_kwh,engine_cc,seating_capacity,km_driven,condition_score,owner_name,owner_contact,registration_number,city,status,insurance_valid_till,last_service_date,age_years,resale_value
VH0651,Volkswagen,Polo,2018,Hatchback,Petrol,CVT,Red,823834,30.2,,,1250.0,5,75006,4.5,Manpreet Shah,9113249027,GJ47IV5104,Ahmedabad,Available,2027-09-15,2023-10-20,6,366601
VH0333,TVS,Apache RTR 160,2016,Motorcycle,Petrol,Manual,Green,125493,28.4,,,450.0,2,104932,2.5,Ananya Rao,9535602000,RJ37YL3087,Jaipur,Sold,2024-08-07,2023-10-30,8,37647
VH0360,Maruti Suzuki,Celerio,2016,Hatchback,Petrol,Manual,Brown,515000,17.7,,,1300.0,5,36013,4.8,Simran Nair,9321362854,PB37NW8798,Amritsar,Available,2026-12-07,2024-07-11,8,166853
VH0594,Bajaj,Pulsar 150,2017,Motorcycle,Petrol,Manual,Gold,130325,40.0,,,350.0,2,106287,3.0,Vikram Agarwal,9363339926,RJ31UH5864,Jaipur,Sold,2026-02-13,2023-06-18,7,43491
VH0392,Kia,Sonet,2019,Compact SUV,Diesel,DCT,Green,854483,21.4,,,1150.0,5,50256,5.8,Kavya Rao,9294184632,MP91PL4033,Bhopal,Sold,2026-05-18,2023-03-15,5,469746
VH0801,Bajaj,Avenger 220,2018,Motorcycle,Petrol,Manual,Red,151848,39.1,,,350.0,2,84005,4.2,Ravi Yadav,9340346197,UP59PE8441,Noida,Available,2024-12-23,2024-03-06,6,66204
VH0315,Royal Enfield,Himalayan,2022,Adventure Motorcycle,Petrol,Manual,Black,272168,32.6,,,450.0,2,59403,7.0,Simran Rao,9197915848,MH12IK3686,Nagpur,Available,2027-07-22,2024-01-14,2,212453
VH0112,Ola Electric,S1 Air,2017,Electric Scooter,Electric,Automatic,Yellow,126866,,162.0,5.0,,2,27224,5.6,Anjali Tiwari,9262598077,HR15GA8225,Faridabad,Available,2026-04-20,2024-10-24,7,52367
VH0007,Tata,Tigor,2021,Sedan,Petrol,AMT,Silver,818283,53.8,,,1200.0,5,15121,8.0,Harpreet Menon,9925276600,HR93DV9797,Gurugram,Sold,2025-08-24,2024-06-09,3,609521
VH0327,Maruti Suzuki,Celerio,2023,Hatchback,Diesel,Automatic,Brown,673510,18.3,,,1200.0,5,27394,8.6,Rajesh Chauhan,9826619655,KL42EY2609,Kochi,Under Maintenance,2024-03-15,2024-07-29,1,601179
VH0427,Tata,Nexon,2018,Compact SUV,Diesel,AMT,Blue,1187545,15.7,,,1500.0,5,47560,5.4,Gurpreet Kumar,9835472281,TN16JP8083,Chennai,Sold,2027-09-24,2022-07-16,6,561043
VH0559,Kia,Carens,2021,MPV,Diesel,AMT,White,1311772,21.4,,,1850.0,7,96114,5.3,Neha Singh,9302786799,MP12PF8526,Indore,Available,2025-01-04,2023-08-01,3,870867
VH0294,Royal Enfield,Classic 350,2017,Motorcycle,Petrol,Manual,Gold,218054,36.5,,,500.0,2,43053,5.1,Rekha Yadav,9438395096,TS85FR8258,Hyderabad,Available,2026-01-31,2024-04-24,7,86555
VH0591,Royal Enfield,Bullet 350,2015,Motorcycle,Petrol,Manual,Green,194766,31.0,,,100.0,2,75497,3.0,Rajesh Shah,9440881854,CH20ZL9502,Chandigarh,Available,2026-05-30,2023-05-11,9,58429
VH0958,Ford,Figo,2018,Hatchback,Petrol,DCT,Yellow,754502,35.7,,,1100.0,5,49070,5.4,Arun Rao,9157338177,DL28HU7132,Delhi,Available,2026-07-13,2022-02-06,6,355317
VH0977,Bajaj,Pulsar NS200,2016,Motorcycle,Petrol,Manual,Green,156621,21.0,,,250.0,2,48477,4.4,Amit Mishra,9828799173,UP45KV3608,Noida,Sold,2024-01-31,2023-11-18,8,48791
VH0133,Ather,450 Plus,2019,Electric Scooter,Electric,Automatic,Blue,149068,,236.0,54.1,,2,62037,5.4,Kavya Rao,9962017778,KL34LQ9147,Kochi,Under Maintenance,2025-10-17,2023-02-21,5,80193
VH0986,Kia,Carens,2024,MPV,Petrol,CVT,Yellow,1485351,24.7,,,2350.0,8,75924,7.5,Neha Kaur,9517767751,RJ69YK8918,Jaipur,Available,2024-12-17,2024-04-06,0,1372577
VH0399,Ford,Aspire,2022,Sedan,Petrol,Manual,Gold,829619,36.8,,,1650.0,5,75060,6.5,Sanjay Mishra,9623400737,HR22PN3203,Faridabad,Sold,2027-10-14,2024-10-01,2,634608
VH0512,Tata,Tigor,2023,Sedan,Petrol,CVT,Grey,902571,21.0,,,1750.0,5,107241,5.9,Neha Chauhan,9218367418,RJ91EG8970,Jaipur,Available,2025-03-11,2023-01-16,1,733572
VH0437,Hero,HF Deluxe,2023,Motorcycle,Petrol,Manual,Orange,69663,51.3,,,350.0,2,55138,7.7,Vikas Kumar,9876309973,UK92VO3148,Dehradun,Sold,2027-10-10,2024-01-08,1,60248
VH0193,TVS,Jupiter,2017,Scooter,Petrol,Manual,Blue,86506,46.8,,,100.0,2,21590,5.8,Amit Kaur,9282649071,KL03KI2715,Kochi,Sold,2024-06-02,2022-07-10,7,36194
VH0436,Hyundai,Creta,2021,SUV,Petrol,CVT,Blue,1390715,25.0,,,2500.0,5,95685,5.3,Kavya Tiwari,9122341268,GJ61DP6681,Surat,Available,2025-01-28,2024-08-19,3,923872
VH0615,Volkswagen,Virtus,2018,Sedan,Diesel,Automatic,Silver,1210531,15.7,,,1650.0,5,112247,3.3,Rekha Shah,9611915355,UP01DF9245,Agra,Sold,2027-11-09,2023-05-04,6,493597
VH0494,Mahindra,XUV300,2018,Compact SUV,Petrol,Manual,Blue,1067394,17.0,,,1500.0,5,33347,5.9,Seema Gupta,9525925819,UP60MK7542,Agra,Available,2024-08-22,2022-10-07,6,519450
VH0577,Ford,Figo,2020,Hatchback,Petrol,AMT,Red,712091,43.2,,,1300.0,5,13267,7.6,Karthik Bhatt,9774083993,WB31GT2228,Kolkata,Under Maintenance,2024-01-31,2022-10-20,4,474774
VH0987,Renault,Triber,2020,MPV,Petrol,DCT,White,1081916,29.2,,,1650.0,7,51130,6.3,Rahul Dubey,9657202202,BR91ML6993,Patna,Available,2027-02-18,2023-10-27,4,680384
VH0433,MG,Gloster,2019,SUV,Petrol,Automatic,Black,3286235,21.8,,,2800.0,5,110874,3.8,Suresh Nair,9797652827,CH90GA4428,Chandigarh,Available,2027-07-06,2023-01-26,5,1607382
VH0707,Royal Enfield,Bullet 350,2017,Motorcycle,Petrol,Manual,Yellow,192782,35.2,,,150.0,2,21587,5.8,Divya Mishra,9962805514,MH11LV2661,Nagpur,Sold,2025-10-15,2022-09-21,7,80662
VH0259,Ola Electric,S1 Pro,2021,Electric Scooter,Electric,Automatic,Yellow,180165,,276.0,66.4,,2,70768,6.1,Divya Bhatt,9372336071,GJ47DE7980,Surat,Available,2026-05-17,2024-01-19,3,124175
VH0142,Bajaj,Avenger 220,2017,Motorcycle,Petrol,Manual,Maroon,146345,41.1,,,150.0,2,103246,3.1,Amit Menon,9265593497,UK38ZH2204,Dehradun,Available,2027-07-22,2022-11-12,7,49282
VH0358,Renault,Kwid,2018,Hatchback,Petrol,CVT,Blue,477601,54.3,,,1300.0,5,28448,6.1,Karthik Kaur,9998106748,WB42DV9943,Kolkata,Under Maintenance,2024-04-03,2022-12-22,6,234765
VH0003,Hero,Splendor Plus,2021,Motorcycle,Petrol,Manual,Brown,81087,26.0,,,350.0,2,10958,8.1,Manoj Patel,9930075810,PB25WC1750,Amritsar,Available,2025-04-21,2022-07-26,3,60737
VH0222,Hyundai,Venue,2016,Compact SUV,Petrol,DCT,Orange,890083,37.3,,,1350.0,5,95825,2.8,Arun Sharma,9834937767,RJ79MY6875,Jaipur,Sold,2024-09-24,2024-09-16,8,267024
VH0870,Mahindra,Scorpio,2018,SUV,Petrol,DCT,Yellow,1447482,20.6,,,2400.0,5,29463,6.0,Sunita Rao,9364347668,UP79IZ8966,Agra,Sold,2025-05-10,2024-07-30,6,710043
VH0623,Volkswagen,Vento,2018,Sedan,Petrol,DCT,Silver,1215521,25.9,,,1250.0,5,40086,5.7,Deepak Mishra,9205375617,MP46HZ7328,Indore,Sold,2027-05-07,2023-09-29,6,583345
VH0340,Ola Electric,S1 Air,2023,Electric Scooter,Electric,Automatic,White,155017,,198.0,30.7,,2,54349,7.7,Seema Patel,9864643763,RJ55TA9161,Jaipur,Available,2027-01-23,2024-01-22,1,134190
VH0770,Honda,CR-V,2016,SUV,Petrol,Manual,Orange,3132131,45.3,,,2050.0,5,46021,4.5,Rajesh Mishra,9871256936,PB87WT7911,Amritsar,Sold,2027-08-18,2024-06-20,8,983423
VH0537,Ola Electric,S1 Air,2024,Electric Scooter,Electric,Automatic,Orange,160935,,241.0,24.0,,2,103882,6.5,Neha Yadav,9965527175,KA07FK7382,Bangalore,Sold,2026-12-24,2024-04-04,0,144216
VH0484,Tata,Safari,2018,SUV,Petrol,Manual,White,1880611,15.6,,,1800.0,5,18570,6.4,Sanjay Menon,9304700754,TS26VK5096,Hyderabad,Sold,2027-01-17,2023-06-19,6,942994
VH0266,TVS,Jupiter,2020,Scooter,Petrol,Manual,Blue,104930,32.8,,,150.0,2,29385,7.0,Amit Mishra,9780389168,PB04PD5224,Amritsar,Sold,2027-10-18,2023-04-16,4,68269
VH0377,Volkswagen,Taigun,2017,Compact SUV,Diesel,DCT,Orange,1244173,20.7,,,1250.0,5,53526,4.7,Ravi Kumar,9230448918,TN48OR3663,Chennai,Under Maintenance,2026-10-19,2022-10-25,7,480840
VH0742,Skoda,Kushaq,2022,Compact SUV,Diesel,Manual,Green,1377612,22.1,,,1300.0,5,75569,6.5,Ravi Joshi,9570579379,TN20SJ4276,Chennai,Available,2027-01-24,2023-06-18,2,1053089
VH0014,Hero,HF Deluxe,2016,Motorcycle,Petrol,Manual,White,57186,49.3,,,500.0,2,63592,3.9,Amit Patel,9278575192,KA07UR1241,Bangalore,Available,2025-03-13,2024-04-01,8,17155
VH0440,Volkswagen,Vento,2023,Sedan,Petrol,Manual,Grey,1382241,52.0,,,1900.0,5,22395,8.8,Rajesh Agarwal,9145064341,MH97DD2669,Nagpur,Available,2027-07-14,2022-08-30,1,1240706
VH0272,Mahindra,Bolero,2017,MUV,Petrol,Automatic,Green,1267066,43.6,,,1850.0,8,18125,5.9,Suresh Sharma,9289630619,WB26EZ3450,Kolkata,Available,2027-07-15,2024-11-24,7,534543
VH0185,Hyundai,Verna,2019,Sedan,Petrol,AMT,Brown,1376676,33.6,,,1300.0,5,105641,4.0,Divya Chauhan,9367520363,GJ50EN4267,Ahmedabad,Sold,2027-01-18,2022-02-09,5,680572
VH0940,Ola Electric,S1 Air,2023,Electric Scooter,Electric,Automatic,Silver,137503,,196.0,47.3,,2,6922,9.3,Ananya Patel,9445358772,PB53EZ5414,Ludhiana,Available,2026-01-19,2023-09-28,1,125550
VH0245,Mahindra,KUV100,2024,Micro SUV,Petrol,DCT,Black,927600,36.5,,,1000.0,5,47310,8.4,Gurpreet Bhatt,9623116712,HR09ID4234,Gurugram,Under Maintenance,2024-09-19,2023-04-26,0,883715
VH0932,Ola Electric,S1 Air,2022,Electric Scooter,Electric,Automatic,Grey,133525,,252.0,44.9,,2,79966,6.3,Arun Pandey,9399762291,PB28ON3820,Amritsar,Available,2025-03-14,2022-02-11,2,101483
VH0446,Mahindra,Thar,2015,Off-Road SUV,Diesel,DCT,Orange,1642641,15.1,,,2200.0,5,99663,2.2,Pooja Chauhan,9480612862,MP15XB7110,Bhopal,Available,2027-08-26,2022-09-13,9,492792
VH0597,Maruti Suzuki,Dzire,2024,Sedan,Petrol,Manual,Green,870326,28.1,,,1750.0,5,16437,9.5,Neha Chauhan,9896390906,MP79TR1082,Indore,Available,2025-01-29,2022-03-02,0,856020
VH0818,Skoda,Superb,2023,Sedan,CNG,Automatic,Yellow,5262967,33.2,,,1550.0,5,65239,7.3,Sanjay Singh,9169420993,MP01UV5123,Bhopal,Available,2025-12-05,2022-05-04,1,4498578
VH0273,Ford,Aspire,2019,Sedan,CNG,DCT,Green,872518,25.5,,,1350.0,5,34548,6.3,Suresh Rao,9583027931,HR21BG5166,Faridabad,Sold,2026-01-09,2024-01-08,5,493367
VH0677,Volkswagen,Polo,2016,Hatchback,Petrol,DCT,Blue,818984,45.3,,,1100.0,5,109482,2.4,Sunita Bhatt,9951069250,CH02XR3487,Chandigarh,Available,2027-05-25,2023-10-02,8,245695
VH0487,Toyota,Glanza,2015,Hatchback,Petrol,CVT,Silver,686817,31.2,,,1300.0,5,103438,2.1,Sanjay Kaur,9730238228,WB98YW9808,Kolkata,Available,2024-03-06,2022-10-12,9,206045
VH0681,Volkswagen,Virtus,2019,Sedan,CNG,Automatic,Maroon,1182305,31.9,,,1850.0,5,31398,6.5,Ravi Dubey,9436098559,CH35WG9007,Chandigarh,Under Maintenance,2025-10-21,2024-08-02,5,672260
VH0416,Toyota,Glanza,2017,Hatchback,Petrol,CVT,Orange,804319,22.1,,,1100.0,5,82633,3.7,Rahul Sharma,9699717002,MH24MM4677,Pune,Sold,2025-04-13,2022-07-02,7,287437
VH0274,Ather,450 Plus,2020,Electric Scooter,Electric,Automatic,Black,144076,,131.0,30.4,,2,67404,5.8,Neha Kumar,9481295430,HR78GS9821,Gurugram,Available,2026-09-25,2024-07-04,4,88260
VH0472,Maruti Suzuki,Celerio,2023,Hatchback,CNG,DCT,Orange,655269,26.0,,,1250.0,5,34091,8.4,Vikas Bhatt,9235271742,HR09SZ4172,Faridabad,Sold,2025-12-28,2024-05-12,1,580508
VH0830,Hero,Passion Pro,2018,Motorcycle,Petrol,Manual,Green,87959,32.6,,,200.0,2,19079,6.4,Priya Kaur,9693323022,PB17KA3030,Amritsar,Available,2025-10-07,2024-02-08,6,44060
VH0455,TVS,Apache RTR 160,2016,Motorcycle,Petrol,Manual,White,129603,35.8,,,100.0,2,77687,3.4,Amit Agarwal,9751605405,GJ27HW8278,Ahmedabad,Available,2024-04-02,2024-10-03,8,38880
VH0251,Kia,Carens,2020,MPV,Petrol,AMT,Blue,1432493,50.1,,,1350.0,8,23286,7.2,Rajesh Menon,9721300772,KA91QU5480,Bangalore,Available,2026-02-10,2024-02-15,4,940738
VH0414,Royal Enfield,Classic 350,2017,Motorcycle,Petrol,Manual,Gold,214583,34.8,,,350.0,2,84594,3.7,Kavya Sharma,9918164904,GJ78XR6353,Surat,Available,2025-01-11,2024-06-27,7,76264
VH0386,MG,Hector,2019,SUV,CNG,DCT,Gold,1680856,25.8,,,1800.0,5,90280,4.5,Ravi Kaur,9439528365,UP24YD3738,Noida,Sold,2025-09-08,2023-07-10,5,856765
VH0308,Skoda,Octavia,2022,Sedan,Petrol,Automatic,Blue,4288329,19.7,,,1500.0,5,101431,5.6,Rekha Nair,9561778017,TN40WW9582,Chennai,Under Maintenance,2024-10-24,2022-11-20,2,3167226
VH0716,Hero,Xtreme 160R,2024,Motorcycle,Petrol,Manual,Green,173118,30.0,,,500.0,2,97830,6.7,Rajesh Pandey,9262971060,CH44KK6674,Chandigarh,Available,2026-10-18,2023-03-08,0,156181
VH0311,TVS,Ntorq 125,2017,Scooter,Petrol,Manual,Grey,104332,34.1,,,100.0,2,29670,5.5,Harpreet Sharma,9389758574,RJ25HB7694,Jaipur,Under Maintenance,2027-10-06,2023-02-20,7,42810
VH0927,Kia,Sonet,2020,Compact SUV,Petrol,Manual,Black,927515,51.6,,,1300.0,5,31525,6.9,Vikas Gupta,9200376561,KA36US8370,Bangalore,Available,2027-06-06,2022-09-01,4,601470
VH0382,Royal Enfield,Thunderbird 350,2017,Motorcycle,Petrol,Manual,Brown,225424,38.5,,,200.0,2,1367,6.5,Amit Bhatt,9911871283,UP39PQ6495,Lucknow,Available,2026-04-18,2023-07-14,7,98878
VH0566,Royal Enfield,Himalayan,2017,Adventure Motorcycle,Petrol,Manual,Brown,232572,54.8,,,450.0,2,44207,5.0,Suresh Tiwari,9746116751,WB46KP7944,Kolkata,Sold,2024-10-10,2023-05-19,7,92050
VH0426,Hyundai,Grand i10,2020,Hatchback,Petrol,Automatic,Brown,632310,16.0,,,1300.0,5,33944,6.9,Ravi Shah,9509515396,KL42ZB2158,Kochi,Available,2024-12-30,2023-05-07,4,408507
VH0875,Mahindra,XUV700,2018,SUV,Petrol,DCT,Black,1841887,47.2,,,2850.0,5,72959,4.6,Amit Singh,9199188814,DL49LB4745,Delhi,Sold,2024-04-12,2023-05-28,6,823399
VH0533,MG,ZS EV,2016,Electric SUV,Electric,Automatic,Black,2377852,,111.0,21.3,,5,36858,4.8,Arun Agarwal,9331971150,UP19JG3198,Lucknow,Available,2024-09-20,2024-05-14,8,768383
VH0753,Toyota,Yaris,2022,Sedan,Petrol,Manual,Blue,1314965,22.6,,,1650.0,5,97751,5.7,Neha Singh,9656842161,MH80NF7868,Pune,Under Maintenance,2027-10-01,2023-01-07,2,976031
VH0766,Maruti Suzuki,Baleno,2023,Hatchback,CNG,DCT,White,842370,31.3,,,1150.0,5,115873,5.6,Ravi Shah,9587873317,PB85OJ3045,Ludhiana,Available,2025-11-30,2023-07-12,1,677372
VH0357,Maruti Suzuki,Celerio,2024,Hatchback,Petrol,Automatic,Orange,739896,19.4,,,900.0,5,8883,9.7,Kavya Shah,9283276335,UP07JZ2594,Noida,Sold,2024-08-05,2022-08-22,0,733323
VH0409,Tata,Tiago,2024,Hatchback,CNG,Manual,Red,853563,29.1,,,1050.0,5,16312,9.5,Arjun Rao,9713077996,HR85CM3302,Gurugram,Sold,2026-12-04,2024-12-11,0,839639
VH0615,Volkswagen,Virtus,2018,Sedan,Diesel,Automatic,Silver,1210531,15.7,,,1650.0,5,112247,3.3,Rekha Shah,9611915355,UP01DF9245,Agra,Sold,2027-11-09,2023-05-04,6,493597
VH0695,Maruti Suzuki,Vitara Brezza,2019,Compact SUV,Petrol,CVT,White,982600,33.1,,,1050.0,5,82632,4.7,Neha Joshi,9299349714,PB60CD2483,Amritsar,Available,2024-02-11,2022-12-13,5,508365
VH0739,Skoda,Octavia,2020,Sedan,CNG,AMT,Grey,4096860,30.6,,,1850.0,5,3053,7.9,Rohit Nair,9590581599,CH98MB7697,Chandigarh,Sold,2027-12-13,2023-02-19,4,2773357
VH0549,Hyundai,Tucson,2018,SUV,Diesel,AMT,Brown,2998485,14.6,,,2850.0,5,63309,4.9,Simran Patel,9338129347,DL49NQ6020,Delhi,Available,2024-05-05,2024-11-10,6,1369381
VH0937,Kia,EV6,2016,Electric SUV,Electric,Automatic,Gold,6233861,,328.0,45.4,,5,88603,3.0,Gurpreet Nair,9479392520,MH08ZU1423,Pune,Available,2024-08-23,2024-10-29,8,1870158
VH0390,TVS,iQube Electric,2015,Electric Scooter,Electric,Automatic,Black,105087,,108.0,65.5,,2,88001,2.6,Rekha Menon,9146473159,MP76BP2948,Bhopal,Available,2024-01-22,2022-07-17,9,31526
VH0608,Mahindra,XUV700,2024,SUV,Petrol,Manual,Blue,2051384,49.3,,,2700.0,5,87173,7.1,Ananya Chauhan,9358260082,PB53UO3004,Amritsar,Available,2026-09-30,2023-07-29,0,1872558
VH0940,Ola Electric,S1 Air,2023,Electric Scooter,Electric,Automatic,Silver,137503,,196.0,47.3,,2,6922,9.3,Ananya Patel,9445358772,PB53EZ5414,Ludhiana,Available,2026-01-19,2023-09-28,1,125550
VH0482,Bajaj,Pulsar NS200,2020,Motorcycle,Petrol,Manual,Orange,168051,17.5,,,150.0,2,44589,6.5,Nisha Verma,9599561727,KL57QL4771,Kochi,Available,2026-05-22,2024-07-12,4,106781
VH0183,Bajaj,Dominar 400,2016,Motorcycle,Petrol,Manual,White,245136,24.6,,,150.0,2,109205,2.4,Manpreet Nair,9198761306,CH09GU8265,Chandigarh,Under Maintenance,2025-11-10,2022-09-08,8,73540
VH0941,Bajaj,Pulsar 150,2023,Motorcycle,Petrol,Manual,Silver,152252,39.6,,,100.0,2,101735,6.1,Arun Yadav,9944522875,GJ27HN8537,Surat,Under Maintenance,2027-07-02,2024-12-12,1,124582
VH0161,Volkswagen,Polo,2017,Hatchback,Petrol,Manual,Yellow,889904,49.5,,,900.0,5,51972,4.8,Rajesh Patel,9917626034,HR17HE6277,Faridabad,Sold,2026-09-29,2022-10-19,7,345307
VH0171,Ola Electric,S1 Air,2021,Electric Scooter,Electric,Automatic,Brown,142718,,121.0,53.4,,2,106414,5.0,Sanjay Joshi,9649009234,BR79EI2369,Patna,Under Maintenance,2024-11-14,2023-11-01,3,93278
VH0293,Kia,Carens,2016,MPV,Petrol,Automatic,Maroon,1161959,21.8,,,2100.0,7,47418,4.4,Gurpreet Rao,9922790554,PB81FR7802,Amritsar,Sold,2027-10-13,2024-07-28,8,363207
VH0562,Tata,Harrier,2017,SUV,Petrol,DCT,Green,1750621,47.4,,,1950.0,5,3279,6.4,Ravi Menon,9773757807,TS62EH1915,Hyderabad,Available,2024-04-01,2022-07-30,7,764532
VH0457,Mahindra,Thar,2024,Off-Road SUV,Diesel,CVT,Yellow,2072993,21.3,,,2200.0,5,7299,9.8,Pooja Mishra,9988780552,KA41EN6311,Bangalore,Sold,2025-02-18,2023-05-06,0,2057862
VH0877,Mahindra,XUV300,2023,Compact SUV,Petrol,AMT,Maroon,1355681,23.7,,,1150.0,5,61125,7.5,Pooja Singh,9673328017,UK92CC2663,Dehradun,Available,2027-02-07,2024-01-26,1,1164360
VH0652,Mahindra,Scorpio,2022,SUV,Petrol,AMT,Black,1651501,15.5,,,2050.0,5,80496,6.3,Priya Bhatt,9185412831,MP82RG7694,Indore,Available,2027-02-03,2023-10-06,2,1254321
VH0850,Bajaj,Dominar 400,2018,Motorcycle,Petrol,Manual,Brown,251077,39.4,,,450.0,2,34025,5.9,Priya Dubey,9443202087,UP79SB9050,Noida,Available,2027-12-05,2024-08-27,6,122017
VH0273,Ford,Aspire,2019,Sedan,CNG,DCT,Green,872518,25.5,,,1350.0,5,34548,6.3,Suresh Rao,9583027931,HR21BG5166,Faridabad,Sold,2026-01-09,2024-01-08,5,493367
VH0550,Hyundai,Tucson,2016,SUV,CNG,CVT,Red,2927028,28.5,,,2150.0,5,28284,5.1,Rahul Verma,9809132123,PB41BF1669,Ludhiana,Sold,2025-08-07,2024-08-24,8,970942
VH0035,Renault,Kwid,2015,Hatchback,Petrol,Automatic,Yellow,382353,14.8,,,900.0,5,101018,2.1,Nisha Gupta,9599326438,PB17PV2874,Ludhiana,Sold,2026-01-25,2022-12-10,9,114705
VH0744,Hero,Passion Pro,2020,Motorcycle,Petrol,Manual,White,86023,53.8,,,300.0,2,64247,5.9,Sunita Tiwari,9558843089,GJ78XA3298,Ahmedabad,Available,2024-04-08,2024-12-18,4,52968
VH0372,Renault,Duster,2020,SUV,CNG,DCT,Orange,1313475,27.8,,,1600.0,5,89407,5.0,Ananya Rao,9604834590,MH45OP9215,Pune,Sold,2026-12-27,2023-08-22,4,775729
VH0670,Tata,Harrier,2015,SUV,Petrol,Manual,Green,1512486,39.1,,,2600.0,5,84086,2.7,Arun Mishra,9777559423,RJ05NW5310,Jaipur,Available,2025-12-15,2024-09-18,9,453745
